product,measure,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Творог жирный,1 кг,72.73,77.64,76.48,103.53,103.49,103.49,103.49,110.41,111.88,117.94,124.30,125.30,125.34,125.34,125.34,126.33,126.33,126.19,126.93,126.93,126.93,127.20,127.47,127.87,130.87,130.87,135.28,135.24,134.32,132.83,134.82,135.49,164.32,183.57,182.42,182.44,183.94,184.64,185.35,186.90,190.30,191.04,192.20,192.50,193.32,195.42,196.17,204.32,207.46,208.37,210.69,211.87,209.95,209.28,206.59,206.59,206.29,206.64,206.85,207.93,210.43,210.43,210.43,210.16,208.50,208.60,207.33,203.44,206.07,205.77,205.67,209.89,224.52,237.67,236.26,230.50,227.97,227.13,215.01,213.77,217.61,218.33,218.73,233.71,224.13,224.28,224.43,221.09,221.55,219.49,219.37,219.44,224.43,233.22,234.19,237.44,231.50,231.66,227.19,231.18,231.28,230.67,234.32,237.05,233.94,252.04,274.29,283.43,288.59,295.08,305.38,305.56,304.20,302.14,310.66,316.27,318.86,320.22,320.66,322.82,324.08,323.72,321.61,314.95,315.64,316.01,316.86,318.91,321.33,318.98,317.31,320.69,315.95,315.90,314.96,314.29,314.17,308.30,294.99,290.16,289.16,350.68,352.15,353.89,359.97,361.13,359.18,357.49,358.21,355.79,354.97,352.00,351.37,346.37,350.30,357.82,358.55,359.54,360.18,359.68,358.27,358.76,359.19,359.27,360.40,358.49,357.31,357.29,359.72,358.24,357.46,356.98,356.02,356.14,356.86,356.95,355.02,354.50,355.60,356.63,356.73,356.74,357.44,358.18,358.19,357.88,357.40,357.79,358.21,357.70,356.25,358.56,363.35,364.11,364.35,366.10,366.28,367.01,368.94,368.58,369.56,372.83,376.87,379.20,380.08,381.68,398.94,417.18,426.96,433.00,434.62,435.60,446.40,455.30,466.59,469.53,466.48,469.20,470.61,479.83,489.91,494.85,494.26,495.58,497.04,497.35,497.46,497.87,495.14,501.27,511.39,513.44,,,,,,,,
Творог нежирный,1 кг,65.28,71.86,72.06,63.27,58.31,55.23,53.83,57.24,59.62,63.98,67.70,70.13,73.85,74.55,75.94,75.67,71.68,67.80,68.16,67.77,69.17,73.22,74.18,81.04,81.19,82.91,86.56,86.37,83.14,81.53,81.79,83.98,97.86,112.92,114.32,115.43,119.49,121.64,123.94,124.84,128.21,128.63,130.29,131.70,133.20,135.05,137.21,143.19,143.17,139.73,138.91,138.04,136.81,135.62,132.88,127.02,125.36,128.49,130.50,131.56,132.00,132.81,135.46,135.12,136.78,133.08,132.66,133.36,136.05,138.46,139.86,148.85,145.19,151.08,150.51,146.82,143.65,142.67,140.97,141.16,127.86,129.12,129.35,133.06,132.34,132.44,132.60,132.09,131.66,129.84,126.01,126.20,142.45,163.21,163.86,172.50,173.97,174.58,174.50,177.30,177.00,168.32,165.37,164.79,161.44,167.77,170.37,181.71,185.79,194.59,204.28,211.63,203.98,203.48,206.43,209.99,214.70,219.68,225.34,232.77,229.71,227.57,226.33,222.08,211.46,198.27,199.10,197.58,201.12,204.55,208.55,212.26,221.87,222.08,218.92,215.81,213.14,204.78,202.10,199.52,201.71,211.69,214.31,219.08,216.91,217.26,217.08,215.76,213.37,204.25,201.14,200.46,202.42,196.26,194.46,199.06,199.30,197.73,197.44,195.64,191.88,189.88,187.91,187.59,188.95,194.81,197.41,200.97,201.78,201.00,200.75,200.94,199.59,200.02,198.72,200.75,201.14,201.95,203.51,205.77,207.67,208.29,209.70,209.81,208.00,204.15,203.13,203.48,201.65,202.59,206.00,207.87,206.79,206.10,206.07,205.21,204.96,207.51,207.93,208.74,211.53,217.84,225.61,246.32,262.57,276.27,279.59,282.71,282.46,279.76,276.20,278.47,287.75,297.90,302.14,303.97,309.68,314.84,315.92,315.98,312.64,310.93,314.94,318.56,323.23,326.93,327.88,330.64,332.61,333.18,334.94,339.53,,,,,,,,
Яйца куриные,10 штук,39.52,32.00,31.95,30.18,28.97,30.14,32.01,33.42,38.15,38.25,41.08,44.50,44.90,41.80,33.87,31.98,34.73,35.71,34.33,34.59,37.71,41.67,42.48,43.73,47.72,41.73,39.67,39.49,38.16,38.60,38.79,43.36,46.89,49.94,51.29,52.89,52.82,52.10,51.43,50.01,51.89,54.15,54.26,54.54,56.02,58.54,60.21,61.83,64.84,62.34,58.32,54.56,55.84,54.79,54.89,55.44,56.20,56.78,59.15,60.88,61.74,61.38,59.99,57.48,56.10,56.17,54.87,54.45,56.84,63.23,65.86,67.92,72.34,69.41,65.38,65.53,63.60,61.89,60.19,60.79,65.25,66.52,68.46,72.83,74.49,73.09,72.27,72.31,68.73,62.41,59.89,60.15,63.13,67.60,70.54,73.18,76.53,75.75,72.24,69.86,69.60,68.32,67.00,66.75,69.11,74.05,80.35,88.00,87.87,79.32,77.32,77.61,74.02,70.76,71.92,72.95,74.00,75.54,77.25,80.20,80.94,79.60,78.13,76.67,75.18,72.42,70.50,69.08,69.51,70.56,71.88,75.19,77.21,76.77,74.11,71.79,70.19,67.94,66.49,65.82,66.67,69.34,74.83,77.52,77.35,77.16,75.84,74.19,71.18,69.05,67.34,66.70,67.43,69.31,71.60,74.20,74.95,73.89,72.74,71.07,68.86,67.63,66.38,66.62,68.17,72.26,73.51,73.67,73.54,73.48,72.31,70.65,69.45,68.99,67.08,68.38,70.22,71.21,71.57,75.04,76.08,76.66,76.78,78.36,77.85,77.18,77.07,76.53,76.36,80.47,84.96,92.91,102.98,105.92,105.66,105.99,104.77,99.26,95.86,93.53,93.92,97.50,101.74,104.14,104.80,104.11,103.23,103.06,100.17,97.57,96.81,97.58,98.91,103.18,111.65,114.00,116.90,117.33,117.96,117.32,115.43,114.43,113.00,113.80,115.55,118.70,122.06,125.16,129.34,131.71,130.70,129.52,,,,,,,,
Масло сливочное,1 кг,169.39,154.16,154.75,153.62,153.21,152.43,152.32,152.25,152.77,154.12,155.65,156.90,161.55,164.78,167.05,169.72,169.91,172.10,170.61,171.06,172.37,172.86,173.16,176.36,184.86,188.27,190.20,188.86,188.81,189.12,191.86,195.73,212.46,244.98,248.84,250.04,250.14,254.77,262.66,277.38,281.00,280.08,279.83,280.07,279.75,280.83,282.06,295.77,297.72,297.72,295.70,293.65,292.64,290.21,283.87,283.90,282.43,268.77,266.88,269.82,271.98,271.78,273.69,273.57,274.10,278.67,281.88,290.27,290.90,295.11,299.87,311.89,318.12,320.01,320.15,320.73,319.97,320.89,320.48,322.51,294.27,295.06,298.90,302.51,302.95,304.05,304.97,300.28,296.02,296.02,296.17,295.29,295.36,295.95,296.87,301.96,302.37,302.62,307.61,308.31,308.56,308.60,308.11,308.29,300.39,301.90,303.40,305.35,308.70,311.07,325.89,321.21,318.85,319.75,321.05,324.39,328.44,332.15,333.30,342.77,342.63,338.64,336.95,335.59,330.12,329.20,328.12,328.12,327.66,327.30,328.29,328.42,342.90,345.22,344.61,343.93,341.21,340.91,337.41,335.63,333.08,337.29,344.82,347.17,341.28,340.84,340.48,338.94,342.48,338.34,337.58,334.51,333.15,333.15,332.74,332.95,333.25,333.63,334.11,332.72,332.87,332.55,331.98,332.07,331.88,331.31,332.08,332.43,331.53,330.45,330.13,331.97,332.31,332.01,330.69,331.32,332.99,332.40,333.20,334.50,335.00,335.62,334.84,333.14,334.92,333.81,333.11,333.50,333.58,334.51,334.61,336.57,335.72,333.49,333.15,336.98,343.92,349.13,350.30,353.08,357.75,364.07,367.48,386.40,393.91,403.89,423.98,436.13,439.75,434.01,439.19,439.98,442.60,457.56,479.63,480.72,487.29,490.46,490.22,490.33,490.94,491.57,491.69,491.90,491.88,492.33,494.33,497.62,500.06,500.72,501.43,505.81,,,,,,,,
Хлопковое масло,1 кг,47.39,47.21,47.55,48.44,48.45,48.40,48.33,48.34,48.04,47.98,47.77,47.39,47.91,47.97,47.82,47.49,46.89,46.48,47.07,47.71,48.05,48.51,48.72,48.65,48.38,48.30,48.33,48.37,48.99,49.67,53.19,58.67,67.54,89.06,89.04,92.39,92.53,93.93,94.74,97.24,104.29,114.44,113.20,109.95,108.84,108.71,106.61,102.25,89.66,86.80,78.17,75.10,71.40,69.93,70.28,70.21,69.99,70.11,70.52,72.50,73.20,73.93,74.15,74.92,76.30,77.32,79.86,83.90,93.88,96.81,101.06,102.16,101.05,100.93,106.91,109.66,110.74,110.63,110.18,109.80,109.57,109.82,109.89,110.22,109.69,108.84,108.46,107.47,106.10,106.09,105.24,105.26,105.33,105.43,105.00,104.93,104.59,104.20,104.45,104.57,104.57,104.72,104.79,104.59,105.08,104.89,104.32,104.22,104.17,103.90,103.68,103.54,103.42,103.18,103.57,103.80,103.86,104.10,104.23,104.38,105.44,106.35,105.73,104.85,104.76,104.50,105.26,108.12,107.32,107.01,108.62,112.73,110.80,112.25,112.36,108.21,107.87,107.80,106.49,105.21,105.51,106.59,107.26,104.35,102.70,102.85,102.01,101.23,100.74,100.97,101.58,101.65,101.55,101.83,101.64,101.39,101.14,100.99,100.97,100.98,100.95,100.97,100.81,101.13,101.61,101.01,100.65,99.80,99.69,99.46,98.68,98.45,98.52,98.54,98.41,98.20,97.72,96.54,99.07,100.32,100.41,100.49,101.13,103.36,103.83,104.40,104.36,104.19,105.65,120.78,128.49,145.26,151.29,151.76,154.42,161.22,169.84,176.72,178.65,177.57,177.62,179.25,179.86,179.17,178.82,178.56,187.99,193.39,192.68,192.38,194.54,197.88,197.39,192.36,188.12,185.65,185.26,184.86,181.46,178.54,177.89,177.94,178.24,177.62,176.60,177.05,174.27,169.23,167.14,164.09,162.88,160.78,,,,,,,,
Подсолнечное масло,1 кг,53.94,53.97,54.39,54.41,54.37,54.34,54.35,54.32,54.02,53.78,53.59,53.42,56.80,57.16,57.69,57.77,57.70,57.74,58.48,58.81,58.86,59.12,59.35,59.34,59.27,59.21,59.18,59.30,59.54,59.84,60.43,64.21,78.94,99.52,98.80,98.84,99.56,102.52,108.54,111.87,119.93,121.52,121.06,117.42,116.02,115.15,104.31,97.36,90.50,82.09,78.85,75.19,68.94,67.05,68.34,69.08,68.78,69.51,69.75,71.97,72.34,71.36,72.27,74.48,76.12,75.84,76.74,81.40,92.38,98.81,106.51,110.44,111.10,111.14,112.59,113.13,113.97,111.93,112.51,112.90,112.46,112.65,111.37,111.01,110.69,109.96,108.79,107.32,106.44,105.62,105.77,106.15,109.43,111.67,112.06,112.08,111.99,111.52,111.24,109.48,109.22,108.86,109.01,108.57,108.83,108.95,106.91,105.64,104.54,101.43,100.19,99.00,97.69,96.18,94.88,95.15,95.79,97.12,98.97,101.56,101.26,101.20,100.08,99.04,98.20,97.39,98.10,98.20,101.25,105.84,108.87,110.99,111.76,111.47,108.77,107.26,106.72,105.69,105.24,104.82,105.52,105.97,104.59,102.85,101.82,101.39,100.50,100.08,98.60,97.25,96.75,96.68,96.42,96.73,97.56,97.27,96.93,96.24,95.76,95.81,95.81,95.68,95.51,95.18,94.68,94.26,94.24,94.75,94.74,94.43,94.06,93.94,93.04,92.29,92.69,93.55,93.88,94.25,95.31,95.17,95.14,95.39,96.22,99.73,100.95,100.04,99.54,100.28,101.50,122.31,129.62,145.73,151.02,154.46,163.07,171.67,177.24,181.87,181.16,176.19,173.25,173.98,175.66,176.10,176.78,176.41,186.60,193.70,190.27,188.07,187.77,187.99,186.51,185.65,181.02,179.53,178.96,176.52,170.26,165.24,160.94,158.61,157.59,154.77,152.56,153.29,153.50,151.99,152.19,151.60,149.94,148.16,,,,,,,,
Яблоки,1 кг,22.64,24.59,26.19,26.74,36.07,33.51,20.95,19.70,18.58,19.16,23.04,26.31,29.00,31.87,36.09,36.98,36.34,30.74,21.87,18.06,16.66,17.67,18.93,22.68,26.77,27.33,28.07,32.86,38.47,39.19,35.53,33.86,32.95,34.62,36.69,38.94,40.96,41.38,44.58,47.09,50.88,48.17,39.27,29.17,27.72,31.02,32.87,41.05,43.44,43.48,43.29,48.92,51.87,56.58,45.81,37.85,32.70,28.68,38.03,41.25,43.60,45.34,47.26,47.75,47.33,50.71,50.80,43.08,42.90,44.44,47.42,50.70,54.99,57.97,59.74,65.46,75.57,83.64,64.96,48.96,37.66,34.35,39.44,40.70,39.88,41.74,44.07,45.88,48.39,68.18,65.62,59.71,51.85,49.56,45.86,43.33,45.22,46.17,50.45,57.76,68.22,63.76,73.39,66.25,59.05,57.12,55.81,57.53,57.29,56.70,58.53,61.00,66.54,74.04,79.65,83.62,84.00,81.40,81.51,69.45,77.60,82.01,83.40,88.25,95.31,105.80,96.93,89.72,76.40,56.10,51.64,55.50,55.70,55.67,57.00,66.97,76.46,74.48,71.99,71.11,66.09,60.57,55.23,57.85,56.60,57.51,58.59,60.86,63.50,77.69,78.18,72.08,67.86,65.45,65.25,65.57,67.12,69.19,70.58,74.06,81.45,79.69,71.12,64.55,59.88,57.51,57.51,57.45,57.79,56.63,53.52,51.18,53.12,66.93,71.80,75.85,68.86,64.14,61.41,66.74,72.11,80.82,83.68,86.92,85.82,83.17,81.11,80.16,74.58,66.61,61.43,63.64,64.58,67.86,69.59,77.42,90.03,110.16,101.54,93.50,80.04,71.25,63.47,66.49,66.66,65.91,66.60,68.32,81.29,113.04,101.79,86.87,68.06,60.93,59.75,58.79,60.68,69.10,77.75,74.35,74.45,87.34,84.45,87.45,89.66,87.47,85.44,84.40,84.61,87.53,99.82,113.57,,,,,,,,
Aбрикосы,1 кг,0.00,0.00,0.00,0.00,49.19,33.08,25.93,24.68,23.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.90,22.61,19.63,15.49,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.12,81.49,45.69,45.45,62.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.58,42.27,38.45,38.61,58.34,55.00,0.00,0.00,0.00,0.00,0.00,0.00,73.14,57.63,49.52,37.70,38.05,30.00,0.00,0.00,0.00,0.00,0.00,0.00,56.69,65.02,51.77,30.43,46.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.80,58.41,47.16,35.61,31.57,37.50,37.50,0.00,0.00,0.00,0.00,0.00,66.84,39.54,41.04,36.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.84,53.28,71.43,118.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.09,85.61,66.78,53.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,212.52,119.62,74.33,89.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.17,69.12,58.84,33.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.48,81.46,79.67,57.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.94,55.73,57.97,34.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.69,61.73,59.86,38.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.37,70.55,62.81,35.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.73,103.49,90.34,60.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.98,142.39,112.54,34.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.22,108.57,133.59,138.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
"Клубника, малина",1 кг,0.00,0.00,0.00,0.00,38.66,33.42,43.53,44.70,53.62,59.55,105.00,0.00,0.00,0.00,0.00,0.00,38.77,39.14,56.45,54.24,61.04,62.35,68.82,0.00,0.00,0.00,0.00,0.00,66.60,59.25,70.53,73.84,88.84,119.39,98.35,0.00,0.00,0.00,0.00,0.00,83.89,90.05,108.32,133.41,136.12,133.92,141.34,85.00,85.00,85.00,85.00,85.00,103.45,80.61,104.44,98.58,97.25,97.59,101.79,106.46,0.00,0.00,0.00,0.00,86.35,65.64,82.45,96.17,103.32,116.43,130.86,0.00,0.00,0.00,0.00,0.00,0.00,92.36,100.95,109.92,110.02,114.58,70.00,0.00,0.00,0.00,0.00,0.00,0.00,78.98,104.21,99.83,109.38,147.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.32,102.49,106.32,133.16,123.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.61,135.21,119.70,147.67,129.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.21,144.65,131.18,140.75,125.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.77,104.78,97.84,94.86,87.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.29,98.20,94.16,118.79,113.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.39,103.16,96.38,103.15,116.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.54,110.59,101.56,134.99,135.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.18,158.86,150.33,167.36,165.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.92,193.99,164.39,218.14,232.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.67,222.20,212.64,196.53,207.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.12,219.81,247.98,265.71,271.24,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Вишня,1 кг,0.00,0.00,0.00,0.00,50.47,45.59,47.14,33.81,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.85,38.70,52.31,34.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.79,73.41,53.36,55.70,59.56,60.00,60.00,60.00,60.00,60.00,60.00,0.00,100.37,120.68,125.15,120.31,64.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127.03,93.62,107.96,118.36,134.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.60,103.27,95.88,105.86,67.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.24,116.58,117.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.89,123.08,91.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.82,95.27,142.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.89,100.90,85.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.61,154.74,86.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.77,104.82,69.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.15,89.48,66.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.45,73.06,56.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.21,94.05,69.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.10,110.01,88.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.72,95.97,76.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.95,147.35,113.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.01,161.21,137.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Виноград свежий,1 кг,44.04,46.70,49.94,0.00,0.00,64.02,44.65,31.44,19.43,25.10,51.58,77.33,68.32,71.34,71.34,100.00,93.41,68.72,34.78,24.01,23.56,31.28,33.61,43.56,98.68,38.17,86.43,0.00,0.00,75.47,48.03,34.23,36.70,37.82,44.88,107.52,118.46,121.45,120.27,56.61,50.00,106.37,90.77,65.58,76.63,100.69,105.34,129.31,129.48,123.43,88.97,100.00,100.00,92.72,71.75,51.32,48.30,49.27,53.02,67.24,83.20,62.50,0.00,0.00,200.00,105.00,68.10,63.70,66.64,76.68,132.69,145.54,0.00,0.00,0.00,0.00,0.00,0.00,100.87,69.11,61.18,65.49,84.62,93.24,0.00,0.00,0.00,0.00,0.00,0.00,62.47,50.84,69.84,66.28,82.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.01,91.27,104.62,113.43,121.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.69,102.20,97.32,115.03,119.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147.09,103.90,91.96,85.13,89.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.46,86.66,79.69,97.18,118.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.57,79.07,76.35,72.69,80.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.63,73.02,71.21,67.05,77.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.26,77.72,69.58,75.68,94.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.34,99.05,87.58,91.49,105.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.86,109.42,110.70,108.62,119.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.43,142.41,118.01,115.69,124.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.09,162.88,181.62,205.83,223.57,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Aпельсины,1 кг,79.18,78.93,78.27,79.23,88.67,90.07,87.87,88.60,89.00,88.71,87.09,84.86,72.93,69.19,77.85,80.26,82.84,84.16,83.35,83.58,82.19,78.24,77.65,78.23,78.26,78.03,82.44,81.16,86.77,88.74,89.76,99.31,99.75,100.49,103.10,98.58,96.32,103.53,111.73,115.68,109.39,105.62,106.38,100.61,99.33,106.09,108.43,122.70,119.39,118.23,119.17,116.70,115.85,113.74,112.09,110.23,107.23,102.61,101.94,102.69,100.62,96.63,96.85,104.14,117.34,119.68,109.92,104.63,123.23,130.57,133.68,130.55,117.90,120.92,124.56,131.78,125.95,125.61,117.21,117.03,127.06,130.42,129.22,126.17,121.72,119.76,110.95,112.66,120.62,119.61,122.68,126.99,130.25,132.83,134.62,137.48,131.65,131.24,131.46,130.33,130.96,131.02,144.31,141.71,139.26,135.98,131.71,131.43,128.39,126.73,134.06,138.44,134.85,133.14,132.19,133.21,138.87,139.12,139.92,128.86,130.33,128.18,132.02,138.00,131.97,126.09,134.92,164.82,168.65,165.69,154.28,159.11,159.27,150.26,139.81,143.11,130.38,127.25,125.17,122.96,128.28,135.42,137.63,135.81,132.62,117.72,115.77,114.37,111.16,108.78,129.20,137.30,138.57,141.23,140.84,141.54,141.02,133.28,132.39,128.89,125.62,122.53,119.70,124.58,127.71,128.04,128.95,128.25,127.37,119.42,112.27,110.85,109.54,112.46,113.56,118.38,124.67,136.79,145.42,144.35,141.91,139.27,138.89,137.36,131.15,127.00,128.59,176.84,169.28,164.65,162.64,167.56,166.15,161.56,162.82,156.58,149.72,143.03,142.36,146.34,156.92,167.75,168.76,157.12,154.22,154.73,162.43,161.95,162.01,167.37,165.26,163.52,165.21,173.48,197.92,203.05,208.87,212.10,207.91,200.72,201.38,193.29,190.61,212.95,234.24,239.27,238.22,236.57,223.18,205.12,196.71,201.36,,,,,,,,
Лимоны,1 кг,71.48,72.13,74.30,77.99,87.45,88.25,90.40,96.45,96.72,97.98,92.49,83.20,80.99,81.35,82.43,82.08,90.61,100.36,96.32,95.70,92.89,98.15,96.06,94.41,93.41,101.06,89.48,87.88,101.32,111.92,111.69,111.64,110.18,109.47,110.64,114.77,119.90,126.02,137.07,137.90,138.97,143.68,141.24,138.30,141.25,148.48,149.94,152.35,153.17,151.13,148.11,137.32,135.58,132.76,130.17,127.75,123.46,122.26,123.40,124.75,122.12,118.48,120.11,123.44,129.93,134.63,133.73,130.56,149.13,172.26,171.04,167.21,152.86,142.01,137.52,136.26,145.03,165.69,141.07,140.54,139.36,142.36,141.26,139.51,138.04,136.79,131.79,131.43,161.53,172.12,161.78,163.39,167.32,166.74,164.70,168.73,159.54,155.48,160.00,157.33,156.54,156.73,160.29,160.53,166.10,166.37,163.77,158.77,158.02,154.50,171.82,174.15,174.42,191.10,219.95,235.59,308.35,266.53,252.96,178.46,184.51,179.87,176.73,178.58,199.01,237.20,225.76,205.90,202.58,197.87,192.04,193.85,189.17,183.36,182.08,183.45,186.21,188.08,184.17,177.47,188.18,192.69,188.11,164.69,148.30,147.81,149.87,148.52,164.80,185.16,180.95,169.47,169.00,168.42,168.69,165.59,162.92,154.46,152.49,152.58,155.89,157.56,160.14,169.20,185.97,184.46,176.43,170.73,169.68,164.05,159.13,154.34,151.80,153.70,156.88,158.84,157.32,150.24,139.67,134.40,132.96,130.79,137.43,213.96,228.31,194.62,189.62,179.90,168.60,164.35,165.28,167.16,167.38,169.30,174.46,189.88,199.17,194.89,194.08,215.14,240.92,232.15,222.46,207.57,195.75,186.14,190.82,182.15,192.55,246.34,256.41,244.98,235.90,210.83,199.94,196.24,198.57,197.54,194.39,190.92,192.24,233.48,243.05,247.57,251.62,254.68,252.60,246.77,229.86,216.65,215.12,224.59,,,,,,,,
